,displacement,label
769,0.056,0
770,0.056,0
771,0.043,0
772,0.043,0
773,0.043,0
774,0.043,0
775,0.052000000000000005,0
776,0.052000000000000005,0
777,0.05,0
778,0.05,0
779,0.062,0
780,0.062,0
781,0.05,0
782,0.05,0
783,0.046,0
784,0.052000000000000005,0
785,0.052000000000000005,0
786,0.054000000000000006,0
787,0.054000000000000006,0
788,0.08,0
789,0.08,0
790,0.04,0
791,0.04,0
792,0.056,0
793,0.056,0
794,0.054000000000000006,0
795,0.054000000000000006,0
796,0.104,0
797,0.104,0
798,0.035,0
799,0.035,0
800,0.259,0
801,0.259,0
802,0.043,0
803,0.043,0
804,0.026,0
805,0.026,0
806,0.031,0
807,0.031,0
808,0.027000000000000003,0
809,0.027000000000000003,0
810,0.028,0
811,0.028,0
812,0.029,0
813,0.028,0
814,0.028,0
815,0.03,0
816,0.03,0
817,0.031,0
818,0.031,0
819,0.028,0
820,0.028,0
821,0.032,0
822,0.032,0
823,0.033,0
824,0.033,0
825,0.029,0
826,0.032,0
0,0.01,1
1,0.01,1
2,0.006999999999999999,1
3,0.006999999999999999,1
4,0.014,1
5,0.014,1
6,0.011,1
7,0.011,1
8,0.015,1
9,0.001,1
10,0.001,1
11,0.012,1
12,0.012,1
13,0.008,1
14,0.008,1
15,0.014,1
16,0.014,1
17,0.009000000000000001,1
18,0.009000000000000001,1
19,0.002,1
20,0.002,1
21,0.001,1
22,0.001,1
23,0.003,1
24,0.003,1
25,0.002,1
26,0.002,1
27,0.006,1
28,0.006,1
29,0.003,1
30,0.004,1
31,0.004,1
32,0.005,1
33,0.005,1
34,0.014,1
35,0.014,1
36,0.001,1
37,0.001,1
38,0.005,1
39,0.005,1
40,0.004,1
41,0.004,1
42,0.005,1
43,0.005,1
44,0.004,1
45,0.004,1
46,0.005,1
47,0.005,1
48,0.004,1
49,0.004,1
50,0.004,1
51,0.004,1
52,0.005,1
53,0.005,1
54,0.005,1
55,0.005,1
56,0.004,1
57,0.004,1
58,0.006,1
59,0.006,1
60,0.014,1
61,0.014,1
62,0.016,1
63,0.016,1
64,0.005,1
65,0.005,1
66,0.004,1
67,0.003,1
68,0.003,1
69,0.004,1
70,0.004,1
71,0.004,1
72,0.004,1
73,0.005,1
74,0.005,1
75,0.011,1
76,0.011,1
77,0.004,1
78,0.004,1
79,0.016,1
80,0.018000000000000002,1
81,0.018000000000000002,1
82,0.004,1
83,0.004,1
84,0.004,1
85,0.004,1
86,0.004,1
87,0.004,1
88,0.004,1
89,0.004,1
90,0.004,1
91,0.004,1
92,0.004,1
93,0.004,1
94,0.005,1
95,0.005,1
96,0.005,1
97,0.005,1
98,0.005,1
99,0.005,1
